ID RA Dec RAHost DecHost zHost NormSep TDR zSource zSN tpk e_tpk x1 e_x1 c e_c mB e_mB logM e_logM distcorr PIa_PSNID PIa_NN PIa_Fitprob PIa_Galsnid
psc100163 02:21:46.161 -05:09:05.75 02:21:46.194 -05:09:06.19 0.31798 0.585 8.71 MMT 0.319 55522.8 0.4 0.2595 0.4598 -0.0653 0.0511 21.5735 0.0836 10.434 0.288 0.014 1.0 1.0 1.0 1.0
psc100206 03:30:04.362 -28:15:24.08 03:30:04.442 -28:15:24.16 0.34740 0.699 5.25 AAT/AAOmega 0.217 55517.9 0.2 0.2327 0.2692 -0.0677 0.0287 20.3411 0.0339 11.184 0.024 0.008 1.0 1.0 1.0 1.0
psc100213 03:32:16.116 -27:11:39.50 03:32:16.090 -27:11:39.62 0.27525 1.085 7.06 AAT/AAOmega 0.276 55521.4 0.1 0.8364 0.3079 0.0262 0.0399 21.5035 0.0558 9.414 0.205 0.011 1.0 1.0 1.0 1.0
psc100358 23:29:46.667 +00:35:25.82 23:29:46.597 +00:35:25.48 -999 -999 -999 -999 0.36 55518.5 0.6 -0.4448 0.6486 -0.0475 0.1025 21.7737 0.133 9.553 0.678 0.022 1.0 1.0 1.0 1.0
psc100405 03:34:30.852 -27:19:14.08 03:34:30.643 -27:19:14.47 0.00362 1.917 -999 6DFGS 0.104 55534.2 0.2 -0.9405 0.3811 0.0519 0.0566 19.176 0.0883 11.056 0.052 -0.007 1.0 1.0 1.0 1.0
psc110033 02:19:36.751 -03:31:45.27 02:19:36.980 -03:31:47.59 0.20488 5.886 25.15 MMT 0.21 55543.8 0.3 1.3066 0.3688 -0.0243 0.0523 20.3292 0.087 10.063 0.185 0.007 1.0 1.0 1.0 1.0
psc110425 08:48:02.754 +44:26:57.42 08:48:02.751 +44:26:57.92 -999 -999 -999 -999 0.38 55555.1 0.4 -0.1926 0.416 0.0196 0.0365 22.2225 0.0473 9.289 0.192 0.025 1.0 1.0 1.0 1.0
psc110426 08:40:03.151 +44:53:39.60 08:40:03.117 +44:53:39.57 1.01323 1.781 4.63 MMT 0.64 55548.0 1.0 0.5471 0.7169 0.1039 0.0679 22.9873 0.0706 10.566 0.093 0.067 1.0 1.0 1.0 1.0
psc110430 08:48:59.892 +44:51:56.46 08:49:00.017 +44:51:55.47 -999 -999 -999 -999 0.42 55554.0 0.5 -0.8641 0.5693 0.0236 0.0427 22.53 0.0515 9.14 0.29 0.033 1.0 1.0 1.0 1.0
psc110431 08:45:25.505 +44:03:36.99 08:45:25.386 +44:03:34.59 0.34258 2.948 7.33 MMT 0.35 55551.5 0.6 -1.6843 0.5321 0.2823 0.0562 22.6369 0.0694 11.476 0.05 0.018 1.0 1.0 1.0 1.0
psc110460 03:35:22.741 -27:50:24.99 03:35:22.767 -27:50:24.84 -999 -999 -999 -999 0.2 55560.8 0.3 -0.1112 0.2529 0.026 0.0359 20.7337 0.0401 9.388 0.283 0.007 1.0 1.0 1.0 1.0
psc110478 03:34:19.272 -27:34:08.04 03:34:19.294 -27:34:07.50 0.26468 1.193 4.63 AAT/AAOmega 0.27 55555.3 0.4 0.9213 0.3118 -0.0316 0.0317 21.0553 0.0395 9.468 0.227 0.011 1.0 1.0 1.0 1.0
psc110484 08:36:44.632 +44:33:17.05 08:36:44.914 +44:33:20.37 -999 -999 -999 -999 0.51 55544.5 1.0 -0.355 0.5604 0.0761 0.0618 22.8034 0.0648 8.86 0.646 0.058 1.0 1.0 1.0 1.0
psc110536 03:37:19.803 -26:54:06.28 03:37:19.824 -26:54:06.02 0.23481 0.496 7.64 AAT/AAOmega 0.25 55555.9 0.5 0.563 0.5071 0.1846 0.0501 21.3245 0.0628 10.577 0.216 0.009 1.0 1.0 1.0 1.0
psc110542 08:47:16.862 +45:17:51.44 08:47:16.665 +45:17:52.29 -999 4.042 -99.0 SDSS 0.43 55550.4 0.7 0.5706 0.5112 -0.03 0.0482 22.3729 0.0454 10.595 0.362 0.034 1.0 1.0 1.0 1.0
psc110567 03:30:51.154 -26:27:35.94 03:30:51.282 -26:27:38.39 0.21448 2.169 5.69 AAT/AAOmega 0.22 55550.5 0.5 -1.0092 0.4692 0.1584 0.0484 21.3118 0.0584 11.403 0.021 0.008 1.0 1.0 1.0 1.0
psc110716 08:35:56.590 +43:29:40.23 08:35:56.563 +43:29:40.05 -999 -999 -999 -999 0.32 55565.8 1.4 -1.509 0.4389 0.0091 0.0492 22.1275 0.057 10.448 0.101 0.014 1.0 1.0 1.0 1.0
psc110719 08:39:41.537 +43:57:51.93 08:39:41.518 +43:57:51.90 0.58174 0.877 4.21 MMT 0.4 55567.2 0.8 0.5834 0.6294 0.0126 0.0502 22.8075 0.0587 11.01 0.214 0.035 1.0 1.0 1.0 1.0
psc110721 08:40:51.887 +44:06:51.49 08:40:51.849 +44:06:51.99 0.57785 1.837 6.03 MMT 0.57 55561.7 0.6 0.5165 0.6562 -0.0082 0.0686 22.9709 0.0665 11.847 0.58 0.078 1.0 1.0 1.0 1.0
